mouse,time,volume,observation,dose,modality
15,57,,0,50,1
15,58,,0,50,1
15,59,,0,50,1
15,59,388000,1,,0
15,62,,0,100,1
15,63,,0,100,1
15,64,,0,100,1
15,65,,0,100,1
15,66,,0,100,1
15,71,283000,1,,0
15,82,468600,1,,0
15,100,493000,1,,0
16,26,320000,1,,0
16,41,,0,50,1
16,43,,0,50,1
16,45,,0,50,1
16,48,,0,50,1
16,50,,0,50,1
16,52,,0,50,1
16,55,,0,50,1
16,56,,0,50,1
16,57,,0,50,1
16,58,,0,50,1
16,59,,0,50,1
16,59,1300000,1,,0
16,62,,0,100,1
16,63,,0,100,1
16,64,,0,100,1
16,65,,0,100,1
16,66,,0,100,1
16,71,916000,1,,0
16,82,1232000,1,,0
16,100,1648000,1,,0
17,26,336000,1,,0
17,41,,0,50,1
17,43,,0,50,1
17,45,,0,50,1
17,48,,0,50,1
17,50,,0,50,1
17,52,,0,50,1
17,55,,0,50,1
17,56,,0,50,1
17,57,,0,50,1
17,58,,0,50,1
17,59,,0,50,1
17,59,629000,1,,0
17,62,,0,100,1
17,63,,0,100,1
17,64,,0,100,1
17,65,,0,100,1
17,66,,0,100,1
17,71,672000,1,,0
17,82,841900,1,,0
17,100,1061000,1,,0
